DateTime,AddedIPs,RemovedIPs
1592488324,14,14
1592490264,59,446
1592490304,59,411
1592492195,11,5
1592492414,2173,1917
1592492952,130,530
1592494087,5,5
1592494443,60,226
1592496024,15,12
1592497931,513,292
1592498044,121,54
1592500093,247,224
1592501106,238,6
1592502007,15,20
1592503190,377,347
1592503940,10,20
1592504703,256,5
1592505846,17,18
1592506299,339,89
1592507767,26,17
1592508843,981,299
1592509701,13,16
1592510390,334,255
1592511604,13,8
1592512211,141,5
1592513625,18,13
1592515470,12,9
1592517365,10,14
1592519583,10,11
1592521754,249,0
1592523011,506,0
1592523608,12,5
1592525791,9,13
1592527699,7,5
1592529609,12,7
1592531545,5,10
1592533449,10,20
1592535370,6,6
1592537303,14,4
1592539254,7,10
1592541153,8,11
1592543057,11,9
1592545033,12,23
1592546990,28,15
1592548811,16,20
1592550731,24,15
1592552046,1768,2689
1592552671,13,9
1592553355,36,32
1592554571,20,16
1592555073,54,74
1592556543,4,9
1592558430,70,130
1592558706,87,81
1592560332,6,11
1592560813,41,103
1592562257,42,744
1592562466,31,0
1592564185,17,17
1592564412,48,185
1592565308,81,65
1592566090,301,0
1592566668,70,81
1592568093,23,19
1592569506,76,74
1592569950,10,1284
1592571004,58,134
1592571850,12,13
1592573771,21,15
1592575712,145,136
1592577616,161,171
1592579535,11,11
1592579608,135,91
1592581471,11,9
1592583369,85,101
1592584212,1578,569
1592584444,86,60
1592585288,11,9
1592585657,34,23
1592587225,13,13
1592587506,58,48
1592588045,20,74
1592589133,10,8
1592589661,100,88
1592591048,7,12
1592591104,42,1
1592591645,18,73
1592592987,12,15
1592593250,67,95
1592594887,5,10
1592595243,124,78
1592596813,13,13
1592598752,110,166
1592598847,24,88
1592600651,14,8
1592601903,95,129
1592602570,17,22
1592604515,56,173
1592604949,52,80
1592606410,14,14
1592607005,78,114
1592608334,271,0
1592610278,79,91
1592610604,70,100
1592612174,6,12
1592612441,121,114
1592613246,52,98
1592614091,4,15
1592614858,137,108
1592616031,6,10
1592616034,84,1
1592616843,72,122
1592617931,6,16
1592617966,106,28
1592619312,0,1018
1592620099,154,113
1592620444,11,102
1592622035,6,14
1592622057,62,169
1592623932,110,12
1592624045,17,108
1592626096,6,14
1592628012,105,179
1592629948,6,7
1592631247,79,207
1592631849,12,13
1592632450,32,24
1592633796,10,13
1592634303,57,70
1592634846,21,107
1592635691,16,15
1592636452,48,115
1592637609,22,12
1592639552,87,125
1592640055,31,116
1592641182,40,0
1592641449,6,14
1592642043,20,86
1592643368,10,19
1592643655,43,80
1592645305,9,15
1592645643,74,212
1592647210,9,587
1592647256,60,318
1592649148,78,11
1592649244,14,112
1592651055,289,0
1592652304,153,164
1592652971,18,16
1592655156,75,182
1592656443,87,1333
1592657047,6,8
1592658050,62,62
1592659272,11,11
1592659504,42,0
1592661136,8,12
1592663077,82,98
1592663412,1587,249
1592663647,18,67
1592664978,11,9
1592665249,75,142
1592667207,15,18
1592667244,88,119
1592669067,9,8
1592670304,147,139
1592670966,19,8
1592672889,823,257
1592674211,123,0
1592674823,4,10
1592675404,507,129
1592676736,4,36
1592677503,118,127
1592678043,21,112
1592678650,7,6
1592679171,94,54
1592680583,11,21
1592681411,335,369
1592682488,10,9
1592682726,159,146
1592684423,9,24
1592684704,96,83
1592685244,24,79
1592686327,15,6
1592686848,107,81
1592688248,9,13
1592688304,55,0
1592688843,23,104
1592690183,6,8
1592692087,9,14
1592694019,627,157
1592695947,260,12
1592696046,138,133
1592698115,126,30
1592698705,74,70
1592699644,31,65
1592700011,11,10
1592701257,123,66
