DateTime,AddedIPs,RemovedIPs
1549798815,28,36
1549883533,30,41
1549972093,37,33
1550057049,34,36
1550142018,28,38
1550231055,36,35
1550315528,30,35
1550401222,37,36
1550489535,31,30
1550577853,38,33
1550663533,39,32
1550748735,40,30
1550835133,39,34
1550919852,34,0
1551008410,35,73
1551093608,34,35
1551179291,37,39
1551269052,35,34
1551354254,41,36
1551440411,31,36
1551525854,36,27
1551612249,37,37
1551697695,42,39
1551787205,30,43
1551872166,34,35
1551957127,32,37
1552045684,36,37
1552130422,34,38
1552218969,32,30
1552303685,33,32
1552392247,35,33
1552476728,38,44
1552561925,40,0
1552650727,31,62
1552736652,39,31
1552822086,24,0
1552910891,32,64
1552997293,25,38
1553081771,38,37
1553170328,36,34
1553255768,41,35
1553341208,42,35
1553429772,44,35
1553514490,41,38
1553602824,41,37
1553687527,35,36
1553823848,41,36
1553900889,42,37
1553985368,31,37
1554074893,34,33
1554160093,41,35
1554245781,41,32
1554334092,39,43
1554419052,43,35
1554504977,35,36
1554593289,39,36
1554677769,36,43
1554766565,28,36
1554851297,27,40
1554937694,33,39
1555023853,35,37
1555112166,35,44
1555196425,26,35
1555284968,33,29
1555370173,29,30
1555456332,34,25
1555545142,34,28
1555630334,33,24
1555715050,41,40
1555800978,39,35
1555889766,38,37
1555974735,34,40
1556063532,33,44
1556148975,40,41
1556235609,37,42
1556320093,43,38
1556408408,33,0
1556492888,36,36
1556579069,32,78
1556668351,36,43
1556754736,34,40
1556840170,39,44
1556924646,44,0
1557012966,34,72
1557097932,34,35
1557186109,31,37
1557270968,34,38
1557359532,40,24
1557444251,41,23
1557532571,37,31
1557617531,38,40
1557704649,36,31
1557789367,41,31
1557878169,34,34
1557962650,29,32
1558050968,34,33
1558136372,38,0
1558221371,33,35
1558309933,41,74
1558395128,42,41
1558480100,42,0
1558569368,37,82
1558653851,39,0
1558742903,33,71
1558827371,34,0
1558915935,33,77
1558999927,40,0
1559088731,41,68
1559173689,42,30
1559260100,31,0
1559344811,32,38
1559433132,40,67
1559518097,43,40
1559607135,31,33
1559692092,42,40
1559777290,44,0
1559865690,45,72
1559950327,38,0
1560039371,37,77
1560124332,36,0
1560212650,38,80
1560298342,38,37
1560383062,35,39
1560472092,38,36
1560557291,39,35
1560641766,38,0
1560730576,37,68
1560815291,33,39
1560900727,34,0
1560989290,35,72
1561074006,37,37
1561162574,31,32
1561247529,33,36
1561336101,33,30
1561420576,43,32
1561509130,40,40
1561593622,40,37
1561678566,41,0
1561767609,45,84
1561852571,39,38
1561940896,39,37
1562026336,39,42
1562111533,40,43
1562197945,44,0
1562286263,45,85
1562370970,39,42
1562460009,40,42
1562544490,40,39
1562630899,38,0
1562716856,35,80
1562806328,33,39
1562891055,38,41
1562976016,43,41
1563064567,45,38
1563149048,39,0
1563234971,43,64
1563323529,36,36
1563408251,41,32
1563496566,37,35
1563581529,38,34
1563670572,39,41
1563755293,36,34
1563843853,38,37
1563929055,41,36
1564014966,38,41
1564099929,34,0
1564188971,37,80
1564273693,34,43
1564362491,43,39
1564447449,39,40
1564531939,37,0
1564620967,36,77
1564705931,31,38
1564791128,33,38
1564880418,37,43
1564965366,38,38
1565051051,34,0
1565139618,30,79
1565224331,39,40
1565309532,41,38
1565398332,32,42
1565483291,38,39
1565568492,41,41
1565657054,33,42
1565741775,36,39
1565830819,37,36
1565916007,33,31
1566001210,35,38
1566089769,37,32
1566175211,32,35
1566260892,32,0
1566347050,36,37
1566432506,35,34
1566522498,35,79
1566608167,36,40
1566693376,38,34
1566779049,31,0
1566867848,30,71
1566953289,33,0
1567038250,35,44
1567124890,29,67
1567211289,29,0
1567300092,24,73
1567386253,32,24
1567470969,38,0
1567556407,42,39
1567646169,36,74
1567731133,40,0
1567817534,45,69
1567902973,43,43
1567988407,35,0
1568078187,35,70
1568163623,34,41
1568248810,36,0
1568334733,43,67
1568422091,39,0
1568508752,38,68
1568594410,38,36
1568681051,41,0
1568770088,32,75
1568855049,32,33
1568940486,31,38
1569026409,24,30
1569115689,32,40
1569201130,27,35
1569288011,23,29
1569374410,32,28
1569460335,34,31
1569545531,30,29
1569631455,38,32
1569720966,40,32
1569805931,31,29
1569891130,35,0
1569976812,35,32
1570066568,39,78
1570152248,38,40
1570237692,40,0
1570322773,37,39
1570412183,40,88
1570497871,42,36
1570583772,42,38
1570669693,40,0
1570755131,39,37
1570843933,40,72
1570929670,38,42
1571015056,31,42
1571100735,28,0
1571190490,31,73
1571275931,30,39
1571361633,36,0
1571446570,31,28
1571535850,22,57
1571621532,30,21
1571707449,27,0
1571793848,24,63
1571878832,34,0
1571968091,30,54
1572054251,36,34
1572139938,28,32
1572226815,35,32
1572313936,44,40
1572398899,38,30
1572484098,40,40
1572570008,37,35
1572659530,38,41
1572744731,33,36
1572830420,35,40
1572917769,37,42
1573003450,28,0
1573088657,30,40
1573177208,36,83
1573262893,36,39
1573349054,36,40
1573434255,30,0
1573523304,42,75
1573608980,33,25
1573693692,38,25
1573783467,39,30
1573868407,37,32
1573953851,37,30
1574039291,39,31
1574128810,34,28
1574214011,34,33
1574299215,35,0
1574388019,41,61
1574473933,37,33
1574558888,30,0
1574647692,32,61
1574733847,33,29
1574819289,34,33
1574904966,33,0
1574990684,25,38
1575076818,22,86
1575165847,32,29
1575251769,31,34
1575337455,34,35
1575423611,27,38
1575509534,28,0
1575594971,34,40
1575683530,30,57
1575769688,24,37
1575855139,31,37
1575940572,40,0
1576027213,28,76
1576115769,29,34
1576201217,25,34
1576286647,36,39
1576376167,26,36
1576461126,28,34
1576547047,39,38
1576632246,35,37
1576720817,42,39
1576806251,40,40
1576892406,39,34
1576981446,32,42
1577066647,29,30
1577151367,22,24
1577240653,25,33
1577325851,29,29
1577410568,28,0
1577499849,29,60
1577585293,34,24
1577671452,32,27
1577756407,31,0
1577845688,32,60
1577931369,28,30
1578016328,32,29
1578102007,29,27
1578191538,27,36
1578276485,34,31
1578361697,27,23
1578447127,33,0
1578536165,29,65
1578621372,32,27
1578706805,25,0
1578795848,37,58
1578882008,35,37
1578968167,27,26
1579053611,28,33
1579139292,41,38
1579225448,31,37
1579314966,42,38
1579399925,35,36
1579484648,40,37
1579573687,34,31
1579658169,39,0
1579746729,37,52
1579831689,38,0
1579920007,44,59
1580004970,34,33
1580089686,42,0
1580178248,33,59
1580263212,33,0
1580352004,38,65
1580436729,35,0
1580525288,39,58
1580610486,27,30
1580695211,33,34
1580784016,27,29
1580868732,34,36
1580957548,29,27
1581042246,22,28
1581126968,30,0
1581215287,21,53
1581300008,35,28
1581389051,18,38
1581474010,33,37
1581562810,26,26
1581648005,23,35
1581732966,32,36
1581821525,37,26
1581906728,36,0
1581991449,20,39
1582080248,26,61
1582165448,34,0
1582254014,30,63
1582338966,28,34
1582423931,27,38
1582512251,27,40
1582596968,24,0
1582685526,26,72
1582770486,37,37
1582855215,34,33
1582944007,31,35
1583028970,37,40
1583117527,31,32
1583202247,37,0
1583290809,32,56
1583375532,28,0
1583460490,36,36
1583549051,33,37
1583633768,28,39
1583722087,33,49
1583807052,33,0
1583895366,29,57
1583979848,35,0
1584068168,30,48
1584152886,24,0
1584241453,31,47
1584326170,36,36
1584411849,35,0
1584500422,30,66
1584584887,35,23
1584673691,29,17
1584758172,26,29
1584843131,17,0
1584931450,32,55
1585016170,27,30
1585104492,28,32
1585189449,28,23
1585278011,37,27
1585362487,34,32
1585451294,32,30
1585536006,36,0
1585620970,28,25
1585709533,22,66
1585794490,33,38
1585883292,28,30
1585967766,31,31
1586052727,27,35
1586141770,37,32
1586226731,24,37
1586315289,27,33
1586399769,28,33
1586488326,25,26
1586573287,27,32
1586658007,28,0
1586746331,21,66
1586831290,26,0
1586920090,32,67
1587005053,23,35
1587089767,29,0
1587178330,22,70
1587262807,31,0
1587351129,22,59
1587437529,25,27
1587522732,22,0
1587611789,26,67
1587694567,25,0
1587783132,22,65
1587867611,20,0
1587956168,24,73
1588040887,28,0
1588129691,31,77
1588214407,24,31
1588299131,26,0
1588387686,20,73
1588472410,28,0
1588560968,27,64
1588646171,20,37
1588731126,21,0
1588819685,24,52
1588904650,23,0
1588993211,25,42
1589077694,23,0
1589166005,21,49
1589250488,18,25
1589338807,20,28
1589423767,26,20
1589508970,35,0
1589597530,42,41
1589683929,45,28
1589769128,39,0
1589858167,39,50
1589942887,36,0
1590027607,42,22
1590116651,40,47
1590201607,44,0
1590290171,35,50
1590375135,32,28
1590460330,34,23
1590548890,35,22
1590633856,40,33
1590719053,34,0
1590807610,36,53
1590892567,35,24
1590981368,44,19
1591066330,35,30
1591150808,33,0
1591239848,39,48
1591324566,34,26
1591413126,39,28
1591497849,33,21
1591582811,31,0
1591671611,30,47
1591756331,36,0
1591845366,28,53
1591930087,27,0
1592015286,25,35
1592103608,32,75
1592188567,29,0
1592277126,27,65
1592361611,31,36
1592450648,35,40
1592535367,35,29
1592620093,35,38
1592708892,24,33
1592793368,29,0
1592882407,22,62
1592967130,31,0
