DateTime,AddedIPs,RemovedIPs
1592007850,4,2
1592009768,5,4
1592011686,2,0
1592013644,3,3
1592015538,2,4
1592017767,4,7
1592019625,6,2
1592021532,2,4
1592023450,6,3
1592025373,1,2
1592027291,6,4
1592029221,2,17
1592031128,4,13
1592033048,6,6
1592034981,0,5
1592036887,5,1
1592039774,5,2
1592041694,5,2
1592043638,3,3
1592045531,3,2
1592047449,3,5
1592049382,4,4
1592051313,5,3
1592054170,4,5
1592056090,4,2
1592058046,9,7
1592059930,2,6
1592061864,2,2
1592063769,7,3
1592065688,6,22
1592067640,5,3
1592069533,1,3
1592071699,5,6
1592073613,2,1
1592075543,5,5
1592077452,1,5
1592079370,2,14
1592081375,4,5
1592083208,2,5
1592085126,2,3
1592087061,3,3
1592088966,1,5
1592091174,2,6
1592093052,9,2
1592094984,14,6
1592096898,1,4
1592098828,2,3
1592100746,1,1
1592102652,2,4
1592104573,2,2
1592106510,5,7
1592108411,4,2
1592110332,2,5
1592112282,4,5
1592114171,0,4
1592116091,5,1
1592118975,3,8
1592120908,4,3
1592122826,5,4
1592124731,3,3
1592126671,2,2
1592128572,6,6
1592130492,4,2
1592132442,8,2
1592134336,5,5
1592136503,4,6
1592138656,11,3
1592140627,4,5
1592142998,4,7
1592144894,2,6
1592147768,13,6
1592149746,3,6
1592151616,3,7
1592153534,7,6
1592155469,6,1
1592157397,1,5
1592159288,3,1
1592162407,6,8
1592164345,6,0
1592166267,4,4
1592168168,4,2
1592170092,6,3
1592172973,3,2
1592174904,2,1
1592176818,2,2
1592178731,1,4
1592180668,3,15
1592182568,2,6
1592184507,2,2
1592187382,5,1
1592189292,12,1
1592191209,5,4
1592193144,7,4
1592195052,5,3
1592196967,4,4
1592198905,1,3
1592200860,4,0
1592202747,4,5
1592204721,2,2
1592206572,1,3
1592208514,5,6
1592210408,1,3
1592212329,3,4
1592214267,5,3
1592216195,4,8
1592218090,4,5
1592220023,3,6
1592221931,3,5
1592223864,2,9
1592225786,4,4
1592227685,8,2
1592230567,9,6
1592232576,7,4
1592234568,4,11
1592236587,5,3
1592238490,4,2
1592240433,5,9
1592242352,6,4
1592244268,2,1
1592246169,3,3
1592248109,1,5
1592250008,1,6
1592252176,4,5
1592254093,2,3
1592256046,6,5
1592257936,5,4
1592259852,1,2
1592261790,2,3
1592263690,6,1
1592266571,9,4
1592268489,4,2
1592270553,2,0
1592272586,3,4
1592274493,3,6
1592277370,2,9
1592279301,6,8
1592281225,6,3
1592283152,4,5
1592285051,2,1
1592286987,2,2
1592288889,3,4
1592290856,2,2
1592292736,2,2
1592294669,5,5
1592296619,12,1
1592298499,8,4
1592300413,2,2
1592302351,2,6
1592304250,1,5
1592306172,4,2
1592308108,6,4
1592310010,7,2
1592311934,5,3
1592313869,3,6
1592315768,4,9
1592317937,4,6
1592319859,4,7
1592321815,8,5
1592323702,8,5
1592325610,2,3
1592327550,8,6
1592329451,11,3
1592331369,4,4
1592333288,5,4
1592335212,4,1
1592337127,5,2
1592339050,10,3
1592340986,4,4
1592342892,1,5
1592345779,3,3
1592347688,3,3
1592349625,2,4
1592351528,7,6
1592353478,1,7
1592355370,4,2
1592357320,2,4
1592359320,2,1
1592361133,3,3
1592363070,9,1
1592364999,3,5
1592366903,5,4
1592368817,8,4
1592370758,4,3
1592372652,2,1
1592374569,8,2
1592376494,17,4
1592378425,20,1
1592380402,12,3
1592382252,2,7
1592384170,7,9
1592386108,6,4
1592388981,10,4
1592390894,3,2
1592392836,3,5
1592394757,3,7
1592396680,2,7
1592398572,2,4
1592400662,1,3
1592402654,3,5
1592404593,2,5
1592406496,3,3
1592408411,2,8
1592410400,2,5
1592412257,3,3
1592414170,4,9
1592416119,4,8
1592418016,2,5
1592419933,5,5
1592421904,1,5
1592423776,2,4
1592425690,5,8
1592427688,5,5
1592429852,9,1
1592431723,6,3
1592433617,5,3
1592435536,5,2
1592437472,3,6
1592439382,6,3
1592441535,9,6
1592443452,9,2
1592445406,2,3
1592447293,4,2
1592450171,9,12
1592452088,9,5
1592454026,1,5
1592455935,5,5
1592457853,2,6
1592459803,2,3
1592461690,7,12
1592463698,2,18
1592465606,7,15
1592467460,10,7
1592469387,2,5
1592471296,5,8
1592473212,2,9
1592475149,9,5
1592477049,4,1
1592478979,2,4
1592480905,5,4
1592482810,6,2
1592484730,3,2
1592486674,2,1
1592488569,3,4
1592490736,1,1
1592492901,4,2
1592494809,3,1
1592496746,2,3
1592498656,6,3
1592500570,1,4
1592502508,7,5
1592504408,2,2
1592506327,5,5
1592508269,5,1
1592510172,5,3
1592512090,2,5
1592514172,6,8
1592516283,5,8
1592518094,3,5
1592520012,6,5
1592521964,7,5
1592523852,2,3
1592525797,5,6
1592527702,7,5
1592529613,2,8
1592531550,4,4
1592533457,3,3
1592535378,5,9
1592537308,2,5
1592539300,6,4
1592541175,3,3
1592543060,1,4
1592545036,0,2
1592547018,8,5
1592548831,5,3
1592550750,3,5
1592552679,6,8
1592554575,4,7
1592556547,3,5
1592558472,6,3
1592560336,7,6
1592562261,1,6
1592564198,1,3
1592566094,3,3
1592568137,3,5
1592569956,3,4
1592571864,1,4
1592573776,5,1
1592575720,4,4
1592577621,2,2
1592579540,3,3
1592581480,1,2
1592583374,4,2
1592585293,3,6
1592587232,8,1
1592589137,2,7
1592591053,2,2
1592592994,6,7
1592594893,5,5
1592597775,4,5
1592599694,2,2
1592601627,0,5
1592603531,3,3
1592605449,2,8
1592607388,4,4
1592609288,12,5
1592612178,6,5
1592614096,0,7
1592616037,4,3
1592617934,6,3
1592619757,6,4
1592621784,0,6
1592623687,3,2
1592625648,2,7
1592627527,6,2
1592629459,2,2
1592631388,2,0
1592633370,4,8
1592635230,2,5
1592637134,2,2
1592639054,3,6
1592640995,1,2
1592642892,1,3
1592644811,3,7
1592646750,5,8
1592648652,2,1
1592650629,6,3
1592652492,5,3
1592655617,6,3
1592657615,4,3
1592659773,2,5
1592661939,3,3
1592663808,6,2
1592665970,7,3
1592667859,5,3
1592669788,2,5
1592671687,7,3
1592673608,4,7
1592675549,16,3
1592677449,33,2
1592679372,5,6
1592681308,3,5
1592684166,6,4
1592686090,5,3
1592688027,5,1
1592689926,9,3
1592691848,6,2
1592693787,5,3
1592695686,5,10
1592697708,4,8
1592699550,1,0
1592701460,1,1
1592703369,4,5
1592705308,1,6
1592707470,3,3
1592709379,5,2
1592712149,5,3
1592713960,3,6
1592715868,4,3
1592717803,4,2
1592719712,2,4
1592721636,2,2
1592723556,2,3
